web-scraper-order,web-scraper-start-url,name
"1659354755-3452","https://gbbf.realaledb.com/LiveBar.php","Titanic									 - Steerage									  - 3.5%
										- Bitter											
											B07											

										
									    																				
										 									   
									   								   										   										   										   											   
										 Steerage passengers paid the least to travel aboard the Titanic but still found themselves surrounded by luxury they could never have dreamed of. This beer embodies the opulence that using only the finest ingredients brings, sit back relax and enjoy the trip that this refreshing clean drinking, hoppy golden bitter brings, then let the fruit, malt and predominantly hops carry through to the aftertaste."
"1659354755-3235","https://gbbf.realaledb.com/LiveBar.php","Marble									 - Earl Grey IPA									  - 6.8%
										- IPA											
											B09											

										
									    																				
										 									   
									   								   										   										   										   											   
										 Smooth and citrusy India Pale Ale, which is fermented with timed additions of Earl Grey tea."
"1659354755-3228","https://gbbf.realaledb.com/LiveBar.php","Mad Squirrel									 - Roadkill									  - 6.5%
										- IPA											
											B04											

										
									    																				
										 									   
									   								   										   										   										   											   
										 Cruising along at 65mph, juicy hops riding shotgun, oats and wheat in the back, this is the flavour-mobile. Enjoy the sunshine haze and leave smooth tire tracks all over your tongue"
"1659354755-3036","https://gbbf.realaledb.com/LiveBar.php","Deep Creek (New Zealand)									 - Lagerita									  - 3.8%
										- Other											
											B18											

										
									      										
										 									   
									   								   										   										   										   											   
										 Tasting notes not available"
"1659354755-3240","https://gbbf.realaledb.com/LiveBar.php","Mash Lab Brewing (USA)									 - Fog Lamp									  - 6.5%
										- IPA											
											B17											

										
									      										
										 									   
									   								   										   										   										   											   
										 Tasting notes not available"
"1659354755-3125","https://gbbf.realaledb.com/LiveBar.php","Hammer (Italy)									 - Wave Runner									  - 6.5%
										- Other											
											B15											

										
									      										
										 									   
									   								   										   										   										   											   
										 Pale, dry and very aromatic. The explosive hop profile comes from American varieties (among which Simcoe, Amarillo, Citra and Centennial) used at different stages of production."
"1659354755-3453","https://gbbf.realaledb.com/LiveBar.php","Titanic									 - White Star									  - 4.5%
										- Blonde											
											B07											

										
									    																				
										 									   
									   								   										   										   										   											   
										 A light refreshing distinctively hoppy beer with a freshness that belies its strength, so easy to drink it will fool all but the crustiest of sea dogs."
"1659354755-3485","https://gbbf.realaledb.com/LiveBar.php","Van Moll (Netherlands)									 - Tripel Trouble									  - 8.5%
										- Other											
											B15											

										
									    																				
										 									   
									   								   										   										   										   											   
										 Very true to the style with grainy and slightly malty flavour with a mild clove note and some spicy hops. Light bitterness to balance it all."
"1659354755-3409","https://gbbf.realaledb.com/LiveBar.php","Steel Bender Brewyard (USA)									 - Nigel									  - 6%
										- Dark											
											B17											

										
									      										
										 									   
									   								   										   										   										   											   
										 Tasting notes not available"
"1659354755-3263","https://gbbf.realaledb.com/LiveBar.php","Nene Valley Brewery									 - Egyptian Cream									  - 4.5%
										- Stout											
											B12											

										
									    																				
										 									   
									   								   										   										   										   											   
										 Velvety mouthfeel and full bodied richness. A fruity hop bite balances this creamy milk stout"
